藍,綠,紅,黃,白
賴士葆,民進黨,習近平,黃國昌,柯文哲
費鴻泰,蔡英文,央視,邱顯智,民眾黨
韓國瑜,林錫耀,臺獨,高鈺婷,賴香伶
馬英九,高幸雪,小粉紅,退黨,陳珮琪
逆時中,林飛帆,出征,徐永明,台大醫科
九二共識,林鶴明,貿易戰,吳崢,外科
蔣萬安,柯建銘,九二共識,王婉諭,學姊
國民黨,民主進步黨,一國兩制,林昶佐,蔡壁如
KMT,劉櫂豪,統戰,洪慈庸,高虹安
維持現狀,執政黨,一個中國,光復香港,黨員大會
1450,林昶佐,中共,時代革命,吳益政
韓粉,洪慈庸,台海,撐香港,柯粉
陳玉玲,王浩宇,南海,太陽花,第三勢力
郭台銘,陳時中,武統,學運,臺北市長
周錫瑋,順時中,臺諜,反服貿,黃靜瑩
中天,吳怡農,官煤,政治素人,郭台銘
中視,農農,告台灣情治部門書,館長,滅黨
中時,DPP,重大形勢惡化地區,反紅媒,謝立功
旺旺,光復香港,海峽兩岸,弊案,雙城會談
杏仁哥,時代革命,國安,戰神,一日雙塔
杯葛,衛福部,綠色恐怖,第三大黨,重症醫學
藍營,衛生福利部,反滲透法,質詢,兩岸一家親
吳斯懷,1450,鄧小平,黃捷,一日幕僚
親共,陳其邁,毛澤東,時力,do things right
罷韓,邁邁,耿爽,罷捷,蔣渭水
江啟臣,美豬,海峽交流基金會,時代力量,醫生
網軍,蘇貞昌,大陸委員會,小燈泡,勞工
抹黑,鄭文燦,國務院臺灣事務辦公室,黨主席,勞工權益
在野黨,潘孟安,海峽兩岸關係協會,擴張主義,大巨蛋
綠共,館長,華春盈,民進黨側翼,台北
白冰冰,鍾明軒,反分裂國家法,小綠燈媽媽,高雄
年金,波特王,反間諜法,洪申翰,記者
軍公教,南鐵東移,馬英九,黃士修,發言人
中華民國,鐵路地下化,淘寶,小綠,議員
菜陰魂,綠營,愛奇藝,奶茶聯盟,醫護
洪秀柱,罷韓,微博,民主燈塔,葉克膜
柱柱姐,蔡政府,微信,保護傘,創黨
可憐哪,鄭南榕,黃安,潑穢,幕僚
夾手珍,教召,歐陽娜娜,潑漆,內鬥
